ANO;NIVEL;NIVEL_DSG;RESIDENT;cod
2011;8;Subsecção;60;13120100101
2011;8;Subsecção;244;13120100102
2011;8;Subsecção;351;13120100103
2011;8;Subsecção;47;13120100104
2011;8;Subsecção;343;13120100105
2011;8;Subsecção;20;13120100201
2011;8;Subsecção;95;13120100202
2011;8;Subsecção;73;13120100203
2011;8;Subsecção;101;13120100204
2011;8;Subsecção;28;13120100205
2011;8;Subsecção;302;13120100206
2011;8;Subsecção;125;13120100301
2011;8;Subsecção;71;13120100302
2011;8;Subsecção;69;13120100303
2011;8;Subsecção;48;13120100304
2011;8;Subsecção;53;13120100305
2011;8;Subsecção;60;13120100306
2011;8;Subsecção;36;13120100307
2011;8;Subsecção;158;13120100401
2011;8;Subsecção;111;13120100402
2011;8;Subsecção;267;13120100403
2011;8;Subsecção;108;13120100404
2011;8;Subsecção;225;13120100501
2011;8;Subsecção;0;13120100502
2011;8;Subsecção;224;13120100503
2011;8;Subsecção;79;13120100504
2011;8;Subsecção;49;13120100505
2011;8;Subsecção;179;13120100506
2011;8;Subsecção;233;13120100601
2011;8;Subsecção;162;13120100602
2011;8;Subsecção;171;13120100603
2011;8;Subsecção;97;13120100604
2011;8;Subsecção;222;13120100701
2011;8;Subsecção;137;13120100702
2011;8;Subsecção;237;13120100703
2011;8;Subsecção;10;13120100704
2011;8;Subsecção;35;13120100705
2011;8;Subsecção;132;13120100801
2011;8;Subsecção;157;13120100802
2011;8;Subsecção;99;13120100803
2011;8;Subsecção;65;13120100804
2011;8;Subsecção;155;13120100805
2011;8;Subsecção;44;13120100901
2011;8;Subsecção;372;13120100902
2011;8;Subsecção;124;13120100903
2011;8;Subsecção;0;13120100904
2011;8;Subsecção;210;13120101001
2011;8;Subsecção;87;13120101002
2011;8;Subsecção;259;13120101003
2011;8;Subsecção;97;13120101004
2011;8;Subsecção;71;13120101005
2011;8;Subsecção;0;13120101006
2011;8;Subsecção;80;13120101007
2011;8;Subsecção;243;13120101101
2011;8;Subsecção;69;13120101102
2011;8;Subsecção;355;13120101103
2011;8;Subsecção;134;13120101201
2011;8;Subsecção;199;13120101202
2011;8;Subsecção;93;13120101203
2011;8;Subsecção;96;13120101204
2011;8;Subsecção;58;13120101205
2011;8;Subsecção;60;13120101206
2011;8;Subsecção;83;13120101301
2011;8;Subsecção;288;13120101302
2011;8;Subsecção;100;13120101303
2011;8;Subsecção;97;13120101304
2011;8;Subsecção;53;13120101305
2011;8;Subsecção;38;13120101306
2011;8;Subsecção;55;13120101307
2011;8;Subsecção;152;13120101401
2011;8;Subsecção;261;13120101402
2011;8;Subsecção;95;13120101403
2011;8;Subsecção;117;13120101404
2011;8;Subsecção;431;13120101501
2011;8;Subsecção;211;13120101502
2011;8;Subsecção;0;13120101503
2011;8;Subsecção;127;13120101504
2011;8;Subsecção;65;13120101505
2011;8;Subsecção;77;13120101506
2011;8;Subsecção;90;13120101601
2011;8;Subsecção;49;13120101602
2011;8;Subsecção;49;13120101603
2011;8;Subsecção;123;13120101604
2011;8;Subsecção;26;13120101605
2011;8;Subsecção;77;13120101606
2011;8;Subsecção;224;13120101607
2011;8;Subsecção;95;13120101608
2011;8;Subsecção;48;13120101701
2011;8;Subsecção;165;13120101702
2011;8;Subsecção;28;13120101703
2011;8;Subsecção;74;13120101704
2011;8;Subsecção;116;13120101705
2011;8;Subsecção;20;13120101706
2011;8;Subsecção;132;13120101707
2011;8;Subsecção;375;13120101801
2011;8;Subsecção;136;13120101802
2011;8;Subsecção;303;13120101901
2011;8;Subsecção;237;13120101902
2011;8;Subsecção;91;13120101903
2011;8;Subsecção;46;13120101904
2011;8;Subsecção;415;13120200101
2011;8;Subsecção;40;13120200102
2011;8;Subsecção;35;13120200103
2011;8;Subsecção;73;13120200104
2011;8;Subsecção;41;13120200105
2011;8;Subsecção;43;13120200106
2011;8;Subsecção;19;13120200107
2011;8;Subsecção;25;13120200201
2011;8;Subsecção;58;13120200202
2011;8;Subsecção;0;13120200203
2011;8;Subsecção;40;13120200204
2011;8;Subsecção;25;13120200205
2011;8;Subsecção;102;13120200206
2011;8;Subsecção;0;13120200207
2011;8;Subsecção;54;13120200208
2011;8;Subsecção;21;13120200209
2011;8;Subsecção;214;13120200210
2011;8;Subsecção;137;13120200301
2011;8;Subsecção;199;13120200302
2011;8;Subsecção;492;13120200401
2011;8;Subsecção;142;13120200501
2011;8;Subsecção;97;13120200502
2011;8;Subsecção;147;13120200503
2011;8;Subsecção;138;13120200504
2011;8;Subsecção;74;13120200601
2011;8;Subsecção;73;13120200602
2011;8;Subsecção;65;13120200603
2011;8;Subsecção;58;13120200604
2011;8;Subsecção;34;13120200605
2011;8;Subsecção;133;13120200606
2011;8;Subsecção;177;13120200607
2011;8;Subsecção;13;13120200608
2011;8;Subsecção;79;13120200609
2011;8;Subsecção;275;13120200701
2011;8;Subsecção;345;13120200702
2011;8;Subsecção;100;13120200703
2011;8;Subsecção;145;13120200801
2011;8;Subsecção;223;13120200802
2011;8;Subsecção;14;13120200803
2011;8;Subsecção;505;13120200901
2011;8;Subsecção;339;13120200902
2011;8;Subsecção;296;13120201001
2011;8;Subsecção;58;13120201002
2011;8;Subsecção;218;13120201003
2011;8;Subsecção;437;13120201101
2011;8;Subsecção;261;13120201201
2011;8;Subsecção;330;13120201202
2011;8;Subsecção;505;13120201301
2011;8;Subsecção;116;13120201401
2011;8;Subsecção;171;13120201402
2011;8;Subsecção;77;13120201403
2011;8;Subsecção;151;13120201501
2011;8;Subsecção;186;13120201502
2011;8;Subsecção;41;13120201503
2011;8;Subsecção;0;13120201601
2011;8;Subsecção;334;13120201602
2011;8;Subsecção;164;13120201603
2011;8;Subsecção;216;13120201701
2011;8;Subsecção;41;13120201702
2011;8;Subsecção;209;13120201703
2011;8;Subsecção;142;13120201801
2011;8;Subsecção;306;13120201802
2011;8;Subsecção;147;13120201901
2011;8;Subsecção;195;13120201902
2011;8;Subsecção;40;13120201903
2011;8;Subsecção;524;13120202001
2011;8;Subsecção;341;13120202101
2011;8;Subsecção;48;13120202102
2011;8;Subsecção;79;13120202201
2011;8;Subsecção;178;13120202202
2011;8;Subsecção;192;13120202203
2011;8;Subsecção;427;13120202301
2011;8;Subsecção;42;13120202302
2011;8;Subsecção;59;13120202303
2011;8;Subsecção;415;13120202401
2011;8;Subsecção;162;13120202501
2011;8;Subsecção;403;13120202502
2011;8;Subsecção;223;13120202601
2011;8;Subsecção;78;13120202602
2011;8;Subsecção;45;13120202603
2011;8;Subsecção;34;13120202604
2011;8;Subsecção;79;13120202605
2011;8;Subsecção;315;13120202701
2011;8;Subsecção;18;13120202702
2011;8;Subsecção;273;13120202703
2011;8;Subsecção;167;13120202801
2011;8;Subsecção;182;13120202802
2011;8;Subsecção;82;13120202901
2011;8;Subsecção;196;13120202902
2011;8;Subsecção;34;13120202903
2011;8;Subsecção;177;13120202904
2011;8;Subsecção;93;13120202905
2011;8;Subsecção;233;13120203001
2011;8;Subsecção;261;13120203002
2011;8;Subsecção;121;13120203101
2011;8;Subsecção;428;13120203102
2011;8;Subsecção;25;13120203103
2011;8;Subsecção;6;13120203201
2011;8;Subsecção;492;13120203202
2011;8;Subsecção;154;13120203301
2011;8;Subsecção;423;13120203302
2011;8;Subsecção;2;13120203303
2011;8;Subsecção;94;13120203401
2011;8;Subsecção;222;13120203402
2011;8;Subsecção;99;13120203403
2011;8;Subsecção;308;13120203501
2011;8;Subsecção;86;13120203502
2011;8;Subsecção;253;13120203601
2011;8;Subsecção;337;13120203602
2011;8;Subsecção;188;13120203701
2011;8;Subsecção;102;13120203702
2011;8;Subsecção;118;13120203703
2011;8;Subsecção;366;13120203801
2011;8;Subsecção;81;13120203802
2011;8;Subsecção;61;13120203901
2011;8;Subsecção;131;13120203902
2011;8;Subsecção;194;13120203903
2011;8;Subsecção;336;13120204001
2011;8;Subsecção;197;13120204002
2011;8;Subsecção;75;13120204003
2011;8;Subsecção;19;13120204101
2011;8;Subsecção;53;13120204102
2011;8;Subsecção;61;13120204103
2011;8;Subsecção;165;13120204104
2011;8;Subsecção;125;13120204105
2011;8;Subsecção;108;13120204201
2011;8;Subsecção;27;13120204202
2011;8;Subsecção;127;13120204203
2011;8;Subsecção;129;13120204204
2011;8;Subsecção;102;13120204205
2011;8;Subsecção;117;13120204206
2011;8;Subsecção;215;13120204301
2011;8;Subsecção;91;13120204302
2011;8;Subsecção;77;13120204303
2011;8;Subsecção;0;13120204304
2011;8;Subsecção;129;13120204401
2011;8;Subsecção;94;13120204402
2011;8;Subsecção;103;13120204403
2011;8;Subsecção;135;13120204404
2011;8;Subsecção;65;13120204501
2011;8;Subsecção;96;13120204502
2011;8;Subsecção;0;13120204503
2011;8;Subsecção;22;13120204504
2011;8;Subsecção;342;13120204601
2011;8;Subsecção;147;13120204602
2011;8;Subsecção;126;13120204701
2011;8;Subsecção;184;13120204702
2011;8;Subsecção;56;13120204703
2011;8;Subsecção;655;13120204801
2011;8;Subsecção;0;13120204901
2011;8;Subsecção;458;13120204902
2011;8;Subsecção;128;13120204903
2011;8;Subsecção;96;13120300101
2011;8;Subsecção;90;13120300102
2011;8;Subsecção;85;13120300103
2011;8;Subsecção;33;13120300104
2011;8;Subsecção;36;13120300105
2011;8;Subsecção;45;13120300106
2011;8;Subsecção;181;13120300201
2011;8;Subsecção;304;13120300202
2011;8;Subsecção;32;13120300203
2011;8;Subsecção;70;13120300204
2011;8;Subsecção;5;13120300205
2011;8;Subsecção;27;13120300301
2011;8;Subsecção;0;13120300302
2011;8;Subsecção;51;13120300303
2011;8;Subsecção;0;13120300304
2011;8;Subsecção;0;13120300305
2011;8;Subsecção;0;13120300306
2011;8;Subsecção;0;13120300307
